Generated by Tarma® InstallMate 7.6.3.4687 (2012.10.30.0958Ux86 Lib Rel)
© 1990-2012 Tarma Software Research Pty Ltd. All rights reserved.

Log file opened at 2012-11-26 22:13:41

0004603C|BLD:Q0061|0000|Shortcut5_BFBC40DE86B7E40D|Shortcut target "http://127.0.0.1:4444" is not an installation item and cannot be checked
00046036|BLD:Q0055|0000|Shortcut5_BFBC40DE86B7E40D|Shortcut has no Start in folder - will use target's folder
00046014|BLD:Q0021|0000|Pyffle_One.dll_081C4DAC4D07431C|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|Pyffle_Osc.dll_C7B31588D4905367|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|Pyffle_Text.dll_B60FEA8543C87A1E|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|Pyffle_Two.dll_FEC4E7FA7EB9AA5D|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|KinectFF.dll_C65F939582DDD446|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|Pyffle_Default.dll_CEF1195C16FB0775|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|freenect.dll_43B6A1284A66D2F8|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|testlibusb.exe_61A804202A63E9B3|No VERSIONINFO - version comparison will depend on date/time stamp
00046013|BLD:Q0020|0000|msvcr100.dll_95F8C6A3D5ACB660|File contains debug information - should this be distributed?
00046014|BLD:Q0021|0000|Mmtt.exe_C5D1089D51868445|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|oscutil.exe_C9F0A3068B106CA9|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|select.pyd_2EB309653228F828|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|unicodedata.pyd_F56100955F55C06F|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|w9xpopen.exe_56F2AFE7E6C4B628|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|_socket.pyd_A2751B772A0006C0|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|_ssl.pyd_266447CA4312DFB7|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|bz2.pyd_48515F1BAED42BC3|No VERSIONINFO - version comparison will depend on date/time stamp
00046014|BLD:Q0021|0000|KinectDll.dll_540E98463C862E1C|No VERSIONINFO - version comparison will depend on date/time stamp
0004601F|BLD:Q0032|0000|libusb0_x86.dll_E79FBEDDB2529459|Source file C:\local\manifold\src\Drivers\x86\libusb0_x86.dll included more than once
00046010|BLD:Q0017|0000|libusb0_x86.dll_E79FBEDDB2529459|See previous message - this is the duplicate
00046065|BLD:Q0102|0000|SetInstallDir|Symbol value is empty
00042002|BLD:I0003|0000|SpaceManifold|Build succeeded: C:\local\manifold\src\installer\Space Manifold\SpaceManifold\SpaceManifold-Setup.exe
00042007|BLD:I0008|0000|SpaceManifold|0 errors, 0 warnings, 0 unsupporteds, 23 questions, 0 advisories, 1 informationals; check/build succeeded.
00042006|BLD:I0007|0000|BuildConfigs|1 target builds succeeded, 0 target builds failed

Log file closed at 2012-11-26 22:14:02
